TagGroup,TagCode,Tag,説明,例（問題タイプ）,備考
計算,CALC,計算,計算・工夫計算・数の処理,工夫計算／単位換算／小数分数,
整数・数論,NT,約数倍数,約数・倍数・素因数分解,西暦因数分解／最大公約数,
整数・数論,NT,剰余,余り・合同・循環,nで割った余り／周期,
整数・数論,NT,規則性,数列・規則・パターン,並び・周期・植木算系,
場合の数,COMB,並べ替え,並べ方・順列・条件つき,数字カード／同じもの含む,
場合の数,COMB,数え上げ,場合分け・樹形図・整理,条件整理／重複排除,
割合・比,RATIO,濃さ,食塩水・混合・割合,濃度変化／溶質溶媒,頻出枠
割合・比,RATIO,比,比の運用・比の連鎖,面積比／比の等式,
速さ,SPD,旅人算,相対速度・出会い追い越し,同方向/反対方向,
文章題,WORD,仕事算,共同作業・能率,何人で何日,
平面図形,PLN,角度,角度追い・円周角など,30°60°／正多角形,頻出枠
平面図形,PLN,相似,相似・比・面積比,相似比→面積比,頻出枠
平面図形,PLN,円,円・接線・扇形,円と図形の組合せ,
平面図形,PLN,等積変形,等積・移動・補助線,面積一定／切り貼り,
立体図形,SOL,切断,切断面・体積比,体積半分→切り口,頻出枠
立体図形,SOL,重なり,立体の共通部分・重なり,回転→共通部分,頻出枠
立体図形,SOL,展開/表面積,展開図・表面積,立方体の展開,
立体図形,SOL,内部の経路,内部最短距離・通過,直方体の最短経路,
グラフ・資料,DATA,表/グラフ,表・グラフの読解,割合グラフ／条件整理,
その他,OTR,思考問題,複合・発想系,条件の言語化が鍵,
